observed,observed_source,station,aqi,band,governing_pollutant,aqi_limit,above_limit
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Anand Vihar, Delhi - DPCC",171,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Jahangirpuri, Delhi - DPCC",170,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC",134,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Nehru Nagar, Delhi - DPCC",133,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Wazirpur, Delhi - DPCC",132,Moderately Polluted,PM10,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"North Campus, DU, Delhi - IITM",127,Moderately Polluted,NO2,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Chandni Chowk, Delhi - IITM",127,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Rohini, Delhi - DPCC",124,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Mandir Marg, Delhi - DPCC",119,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Sonia Vihar, Delhi - DPCC",117,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"IGI Airport (T3), Delhi - IITM",117,Moderately Polluted,OZONE,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Okhla Phase-2, Delhi - DPCC",116,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Sirifort, Delhi - CPCB",115,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Pusa, Delhi - DPCC",111,Moderately Polluted,PM10,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Bawana, Delhi - DPCC",109,Moderately Polluted,PM10,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"CRRI Mathura Road, Delhi - IITM",109,Moderately Polluted,NO2,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"R K Puram, Delhi - DPCC",109,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Ashok Vihar, Delhi - DPCC",108,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Punjabi Bagh, Delhi - DPCC",107,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Patparganj, Delhi - DPCC",103,Moderately Polluted,PM2.5,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"ITO, Delhi - CPCB",102,Moderately Polluted,PM10,100,1
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"NSIT Dwarka, Delhi - CPCB",100,Satisfactory,CO,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"DTU, Delhi - CPCB",96,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"IIT Delhi, Delhi - IITM",95,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Vivek Vihar, Delhi - DPCC",91,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC",89,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC",89,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Dwarka-Sector 8, Delhi - DPCC",87,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Commonwealth Sports Complex, Delhi - DPCC",85,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"IMD Lodhi Road, Delhi - IITM",83,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Narela, Delhi - DPCC",78,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Burari Crossing, Delhi - IITM",77,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Mundka, Delhi - DPCC",76,Satisfactory,NO2,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"JNU, Delhi - DPCC",76,Satisfactory,CO,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Talkatora Garden, Delhi - DPCC",76,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Sri Aurobindo Marg, Delhi - DPCC",72,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Aya Nagar, Delhi - IITM",69,Satisfactory,OZONE,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"NSUT Jaffarpur, Delhi - DPCC",67,Satisfactory,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"IHBAS, Dilshad Garden, Delhi - CPCB",62,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Najafgarh, Delhi - DPCC",62,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"IGNOU_Maidan Garhi, Delhi - DPCC",59,Satisfactory,CO,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Shadipur, Delhi - CPCB",53,Satisfactory,PM10,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Cantonment Area, Delhi - DPCC",21,Good,PM2.5,100,0
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,"Alipur, Delhi - DPCC",14,Good,OZONE,100,0
2026-08-26T02:00:00+05:30,26-08-2026 02:00:00,"Anand Vihar, Delhi - DPCC",149,Moderately Polluted,PM2.5,100,1
2026-08-26T02:00:00+05:30,26-08-2026 02:00:00,"Jahangirpuri, Delhi - DPCC",138,Moderately Polluted,PM2.5,100,1
2026-08-26T02:00:00+05:30,26-08-2026 02:00:00,"Sonia Vihar, Delhi - DPCC",133,Moderately Polluted,PM2.5,100,1
